t_s,vx,wz
70.795881698,0.198420405387878,0.00244984962046146
70.805883423,0.200414568185806,0.00244983145967126
70.815879958,0.200414568185806,0.00244983145967126
70.825877615,0.200414568185806,0.00244983145967126
70.835887965,0.200414568185806,0.00244983145967126
70.845876,0.200414568185806,0.00244983145967126
70.855877009,0.200414568185806,0.00244983145967126
70.865878521,0.200414568185806,0.00244983145967126
70.875878591,0.20141164958477,0
70.885880104,0.202408730983734,-0.00244984962046146
70.895873962,0.20141164958477,0
70.905880175,0.202408730983734,-0.00244984962046146
70.915876707,0.202408730983734,-0.00244984962046146
70.925878496,0.202408730983734,-0.00244984962046146
70.935873226,0.203405827283859,-0.00489969924092293
70.945886541,0.203405827283859,-0.00489969924092293
70.95587336,0.204402923583984,-0.00734954932704568
70.965881524,0.204402923583984,-0.00734954932704568
70.97587629,0.205400004982948,-0.00489969924092293
70.98587595,0.205400004982948,-0.00489969924092293
70.995879902,0.205400004982948,-0.00489969924092293
71.005879465,0.203405827283859,-0.00489969924092293
71.015874521,0.203405827283859,-0.00489969924092293
71.025880461,0.205400004982948,-0.00489969924092293
71.035880706,0.204402923583984,-0.00244984962046146
71.04588321,0.205400004982948,0
71.055877641,0.204402923583984,0.00244984962046146
71.065877453,0.205400004982948,0
71.07587701,0.204402923583984,0.00244984962046146
71.085876228,0.204402923583984,0.00244984962046146
71.095884386,0.205400004982948,0
71.1059112,0.206397086381912,0.00244984962046146
71.115869827,0.207394182682037,0
71.125876017,0.205400004982948,0
71.13587559,0.205400004982948,0
71.145880588,0.205400004982948,-0.00489969924092293
71.155885801,0.205400004982948,-0.00489969924092293
71.16590642,0.204402923583984,-0.00244984962046146
71.175880389,0.205400004982948,-0.00489969924092293
71.185888156,0.206397086381912,-0.00734954932704568
71.195890216,0.204402923583984,-0.00244984962046146
71.205882232,0.204402923583984,-0.00734954932704568
71.215881376,0.203405827283859,-0.00489969924092293
71.2258832,0.204402923583984,-0.00734954932704568
