t_s,vx_filt,a,a_raw
1.049862183,0.0455240081580979,0.685534300466397,0.698048554330313
1.059988513,0.0524253660479808,0.682335997517176,0.792608747006842
1.069989898,0.0592578726503644,0.673220963474273,0.699063640267506
1.079956969,0.0658685492353944,0.643353043869049,0.6978666439393
1.089992599,0.0721266712243168,0.602543140613091,0.697025727435316
1.099983818,0.0779355897284385,0.5570984149154,0.49966024548177
1.109947906,0.083243741123167,0.505502562999323,0.349005585386348
1.119982372,0.0880449100317189,0.454877581327332,0.348229246098471
1.129991066,0.0923609252661238,0.408606051485113,0.448510729966447
1.139990332,0.096220283565591,0.365118606486851,0.449451542493437
1.149957161,0.0996509180495078,0.323887575721578,0.249764137460262
1.159950911,0.1026852671079,0.285038395481576,0.248857268533449
1.169990479,0.1053611828684,0.25143687163148,0.249205289584516
1.179956252,0.107715347464861,0.220610459522827,0.199223224464126
1.190009972,0.109777692418544,0.192429940731677,0.24887658650624
1.199988015,0.111570058431702,0.167088830291853,0.199996376891181
1.209952073,0.113109794748196,0.142324012909665,0.149566408499664
1.219987603,0.114416480052402,0.119991644633774,0.0994425628547407
1.230005636,0.115516054753333,0.101176804942002,0.0996803028997307
1.239993263,0.116440588811958,0.0857106322801166,0.0499850658101685
1.249953222,0.117225774961855,0.0734041240403466,0.0997455514191509
1.259985911,0.117908131625645,0.0647900796958314,0.0497684070978464
1.269987946,0.118523826326499,0.0601265934865017,0.0499501369495676
1.279947595,0.119108359684819,0.0585429227808884,0.0498393623523701
1.289993848,0.119695030302447,0.0601193109889081,-3.72312258427706e-07
1.299959238,0.120311445873735,0.0639218785551519,0.0498562037937222
1.309992992,0.120973413156422,0.0684785266243523,0.149569519609763
1.31995841,0.121680959706002,0.0724961614749293,0.14948425026326
1.330003572,0.122424103395309,0.0755676117386489,0.0497871725390733
1.339985433,0.123194354004347,0.0789681616973679,0.0502776013955153
1.349835243,0.123990173997566,0.0809714582180068,0.0498513317540984
1.359986681,0.124813884221087,0.0831465880213765,0.0989021598172527
1.369998379,0.125666669959777,0.0867028897890926,0.0997648246807414
1.379975392,0.126546963227946,0.0893163956137818,0.149519975385725
1.390004128,0.127453511352011,0.0921336232909285,0.0498315362041125
1.399984735,0.128390496498207,0.0957940996192563,0.0498880511942717
1.409990505,0.129368088341377,0.100396322375347,0.0997779794931464
1.419970736,0.130397017497597,0.105711376888901,0.0996482589537021
1.430002673,0.131483602175189,0.111436510416074,0.0996220742789228
1.439988164,0.132627689821422,0.117493312485965,0.1502918262861
1.449905778,0.133822083910395,0.12139306832822,0.199372602045909
1.459992695,0.135056101219979,0.124494264906497,0.0992535091975209
1.469997388,0.136323374128133,0.128493427929404,0.0997025488574691
1.479993966,0.137626133093714,0.132336289501138,0.0498418835295684
1.490002577,0.138970786611162,0.136731574862881,0.19946765971627
1.499988889,0.140360070404766,0.14119562632297,0.199589590010373
1.509985285,0.141792257582851,0.145271413182423,0.0996443552699765
1.520001841,0.143267380223758,0.150169267912981,0.149850791599787
1.529946968,0.144789888905272,0.154874693076981,0.0997020852722352
1.540003205,0.146365085334379,0.159730457225459,0.149155462179974
1.550001608,0.147993225721964,0.165078871625993,0.199505465623762
1.559994339,0.149665199177623,0.168520698324959,0.199408988668607
1.570002414,0.151363775516146,0.170277067960166,0.199503097383649
1.579985785,0.153069283986787,0.170246716948619,0.199572308726161
1.589986927,0.154766073244213,0.16867349990442,0.0996087234026322
1.600005896,0.156446146177632,0.167041489886699,0.149590342000611
1.609983365,0.15810630804016,0.16480324918033,0.199371186831099
1.620010569,0.159742981286822,0.162080167187391,0.14940143895614
1.630004887,0.161351399673266,0.159484508988287,0.199712789506469
1.63998095,0.162927947694916,0.156505165699279,0.199871107561514
1.649959524,0.16447440344342,0.153645592341533,0.0996460083231982
1.65999357,0.166002798549122,0.152570640406096,0.0497386365205636
1.67000594,0.167532897970387,0.153890918139388,0.149557052149732
1.679994459,0.169080753720936,0.155936323543263,0.199528228736327
1.689994868,0.170649897914278,0.157542492664945,0.199338993601805
1.700002288,0.17223283697441,0.158491920843777,0.199476545673085
1.709988975,0.173818802338264,0.158492291306975,0.149630872355612
1.71999321,0.175401244007529,0.157936322723409,0.0996319812099619
1.730004263,0.176979943323234,0.157813418372482,0.149608899795777
1.739987068,0.178556543084963,0.157883525383148,0.149980681095639
1.749948559,0.180128819086999,0.15642077310268,0.149434036047622
1.760004422,0.181687673073113,0.15416416212147,0.199106278092138
1.769979848,0.183216925971897,0.150872090106614,0.199926597763229
1.779953446,0.18469742401958,0.14471232950069,0.149394378286191
1.790002416,0.186114438429763,0.137993758230497,0.099535911447536
1.799988202,0.187462095295251,0.131669289190194,0.0999623745419325
1.809951699,0.188741146342227,0.124448193221655,0.0996358739969906
1.820002708,0.189952864405175,0.117355827080242,0.149174637588406
1.830003861,0.191094384398484,0.110359461151139,0.0997957787184788
1.839985443,0.192158148272101,0.101867225513345,0.0498580486204789
1.850002265,0.193131566328659,0.0918918358906894,0.199443590737135
1.859982779,0.193995740190064,0.0800460744385366,0.149661342269058
1.869989117,0.194731435371643,0.0665636820648922,-0.0497915292978247
1.8800079,0.195328685977619,0.0527189359256762,0.0498529208383753
1.889989578,0.195785838393586,0.0387444478601733,0.099714312212326
