t_s,vx_raw,vx_filt
26.268911327,0.202408745884895,0.201911687492563
26.278922076,0.202408745884895,0.20217250478264
26.288910786,0.202408745884895,0.202385589204369
26.298913598,0.202408745884895,0.202559885210529
26.30831297,0.202408745884895,0.20270523715531
26.318912695,0.202408745884895,0.202828599039806
26.328913161,0.203405827283859,0.202932204898206
26.338906709,0.204402923583984,0.203017525954269
26.34891699,0.202408745884895,0.203093607532047
26.358908167,0.202408745884895,0.203177804893816
26.368921837,0.202408745884895,0.203284765035258
26.378924819,0.203405827283859,0.203416583403897
26.388319229,0.203405827283859,0.203563155527511
26.398918059,0.204402923583984,0.203708721686219
26.408900731,0.203405827283859,0.203838159400259
26.418906859,0.204402923583984,0.203939336622521
26.428908347,0.204402923583984,0.204003138499155
26.438909841,0.204402923583984,0.20402537786503
26.448894514,0.204402923583984,0.204009444076515
26.458911814,0.204402923583984,0.203967114798133
26.468319181,0.203405827283859,0.203917450477981
26.478922662,0.203405827283859,0.203882216154788
26.48890885,0.203405827283859,0.20387879386579
26.498903361,0.203405827283859,0.203915472152009
26.508921039,0.204402923583984,0.203991430789193
26.518924716,0.204402923583984,0.204101245612942
26.528899234,0.204402923583984,0.20424124722168
26.538188637,0.203405827283859,0.204411191214496
26.548319002,0.204402923583984,0.20460866397837
26.558895266,0.205400004982948,0.204824196111146
26.568908314,0.205400004982948,0.205045093940385
26.578905808,0.205400004982948,0.20526287705399
26.58890902,0.205400004982948,0.205475285984768
26.598913291,0.206397086381912,0.205684336133252
26.608899799,0.205400004982948,0.205895758087895
26.61890879,0.205400004982948,0.206117151749714
26.628313027,0.206397086381912,0.206352116697336
26.638911305,0.206397086381912,0.206596849851053
26.648904145,0.207394182682037,0.206843124138203
26.658906411,0.206397086381912,0.207082425336891
26.668929242,0.207394182682037,0.207306105531201
26.678914981,0.207394182682037,0.20750304954523
26.688910783,0.208391278982162,0.207660333760138
26.69890611,0.207394182682037,0.207767105420543
26.708297642,0.208391278982162,0.207816642873766
26.718907179,0.207394182682037,0.20780548651553
26.728909015,0.208391278982162,0.207732427714171
26.738905455,0.208391278982162,0.207600075498742
26.748910303,0.206397086381912,0.207417692041695
26.758919909,0.207394182682037,0.207198621956551
26.768912964,0.207394182682037,0.206954782637399
26.778273011,0.207394182682037,0.206698535387705
26.788294927,0.206397086381912,0.206449029586175
26.798899944,0.205400004982948,0.206232147687474
26.808905902,0.205400004982948,0.20607232872821
26.818896337,0.206397086381912,0.205985035122242
26.828907733,0.205400004982948,0.205977333230819
26.838899817,0.205400004982948,0.206050982741323
26.84890204,0.207394182682037,0.206202580965284
26.85890708,0.206397086381912,0.206427313053792
26.868255841,0.205400004982948,0.206723704489937
26.878916795,0.206397086381912,0.207087565877378
26.888232891,0.207394182682037,0.207501815038123
26.898905335,0.208391278982162,0.207936870147059
26.908915642,0.209388360381126,0.208360653070195
26.918908551,0.208391278982162,0.208748179078489
26.928236776,0.209388360381126,0.209083402184543
26.938905441,0.209388360381126,0.209355142950156
26.948229607,0.209388360381126,0.209554070958356
26.958899003,0.209388360381126,0.209671010310211
26.968899534,0.211382538080215,0.20969678341186
26.978906496,0.209388360381126,0.20962774261463
26.988253405,0.21038544178009,0.209471853474931
