t_s,vx_filt,a,a_raw
8.979794245,0.205656182121088,-0.013590094749419,-0.0997347461741309
8.989912538,0.205526101689543,-0.0110591422353756,-0.0991772650605521
8.999901451,0.205433813669978,-0.00657858611548241,0
9.009907096,0.205394565767899,-0.0013636845286226,0.0996153162878624
9.019920237,0.205406514361228,0.00311402193172282,0
9.029906984,0.205456845857763,0.00615140012167519,0
9.039924277,0.205529567215318,0.00758770402235009,0.049865728555537
9.049902308,0.205608564458106,0.00770868866961536,0
9.059463491,0.205680188932893,0.00628893221638429,-0.0498446692435792
9.06990608,0.205734366824286,0.00393079069733053,0
9.079908763,0.205760555017875,0.000485132993032292,0.0498467923165234
9.089909,0.205744070900735,-0.00454565254210673,0.0498571610921883
9.099907523,0.205669647603642,-0.0108040504385055,-0.0499798717844759
9.109858659,0.205528533778668,-0.0175071588353366,-0.0499476018273857
9.119870071,0.205320160105048,-0.0240065052917019,0
9.129852981,0.205048539981771,-0.0307126626994928,-0.0510285193875913
9.13940976,0.204720044227538,-0.0352068039857672,-0.0497188198425831
9.149907387,0.204342488440678,-0.0388263730708492,0
9.15991011,0.203924089990355,-0.0434507856618109,-0.0997072298144417
9.169907719,0.203473458301781,-0.0463119164330651,-0.0498525093276934
9.179911035,0.202997808823171,-0.0486147318896648,0
9.18992023,0.202500555445077,-0.0506563473751636,0
9.199909808,0.201984744031006,-0.0520040391212211,-0.0498744960480546
9.209912039,0.201460900627737,-0.0529176069765588,-0.1529636582492
9.219465166,0.200949921282076,-0.0491945336381235,-0.0498439963668393
9.22991638,0.200476796401504,-0.0433224861128442,0
9.239914167,0.200064019720232,-0.0373134324124326,-0.0997469883039828
9.24990874,0.199730812827879,-0.0294393516145966,-0.0512362861814893
9.259374912,0.199491108005495,-0.0189722894231199,0.0996708206680408
9.269916378,0.19935122212907,-0.00858237637983733,-0.0485525792201399
9.279911028,0.199314859328603,0.00180696930534529,-0.0498731832996555
9.289909012,0.199387348205041,0.0131061673750963,0
9.29946086,0.19957108269895,0.023561717750282,0
9.309913652,0.199858691886417,0.032313803800448,0.146279634400624
9.319909872,0.200231868060631,0.0405184247991969,0.0498796251317924
9.329903704,0.200668657305111,0.0459261838324723,-0.0498599605541814
9.339907808,0.201150296945637,0.0494958525589656,0.0996895701002406
9.349907579,0.201658766152719,0.0525099645182895,0.102219917220977
9.359416508,0.202174698090435,0.0511359084162109,0
9.369904535,0.202681328663338,0.0494518377903394,0.0497590252341046
9.37945471,0.203165624005349,0.0467072144470316,0.0498466851617949
9.389907498,0.203615611345755,0.0416574781921542,0
9.399920351,0.204018170998995,0.0370929737804144,0.0996960839772637
9.409910066,0.20435756607612,0.0299875651021692,0.0498783875321991
9.419910899,0.204617638858573,0.0214596013530027,0
9.429905749,0.204786665462081,0.012113302382302,0.0498576896164662
9.439909447,0.204859887317704,0.00266367105372397,-0.0498524372808784
9.449906404,0.20483994062786,-0.00644208855128352,-0.0510086951196251
9.45945673,0.204733961989681,-0.014632640580248,0
9.469902492,0.204547345059145,-0.0220973708377027,0.0487462766880687
9.479911244,0.204281971008518,-0.0302182983220579,0
9.48990937,0.203942771251248,-0.0367879528915668,-0.0498345348105551
9.499919084,0.203545923533136,-0.0411347108685693,-0.099770213704813
9.509897076,0.203120582744012,-0.0421878259670125,-0.0997444687936882
9.519911949,0.202702468023934,-0.039773619613627,0
9.529891123,0.202325347124097,-0.0350391102413416,-0.0510170207931397
9.539456042,0.20201766039474,-0.0261286395511842,-0.0498077188850062
9.549909735,0.201802288026834,-0.0159588040955362,0
9.55968016,0.201694907657573,-0.00495937174918064,0
9.569907498,0.201703111685965,0.00654311479054696,0
9.579910946,0.201827280012674,0.0178642628799984,0
9.58990781,0.202060402517215,0.0280030294078684,0.0498982148989221
9.599893252,0.202386845115229,0.0361254689319452,0.0498578865694141
9.609906279,0.202782856587761,0.0425272785581656,0.050947187713053
9.619464134,0.203219141465672,0.0440215442225051,0.0498511985191684
9.629907431,0.20366333818503,0.0422341642145951,0.0974960893368386
9.639918059,0.204082995892955,0.0394541005294227,0.0997191759734047
9.649905367,0.204452338762355,0.0338430501088444,-0.0498819389875116
9.659906885,0.20475947873289,0.0276450969821167,0
9.66990823,0.20500531984991,0.0218687481885871,0.0498313543253295
9.679916002,0.205197053074039,0.0170099500310119,0
9.689908114,0.205345516877376,0.0137110335230645,0
9.699457086,0.20546498153184,0.0112863934972874,0
9.709902051,0.205571176317918,0.0105015915804553,0.0487172195284518
9.7199238,0.205679914603262,0.011863265595931,0
9.729918314,0.205808634562125,0.0148397223468229,-0.0498806363751357
9.739913148,0.205976550977476,0.0195383265399607,0
9.749902591,0.206199093891816,0.0253143540890661,0.0997013575019575
9.759914658,0.206482876283932,0.031483195906336,0.0498487236725837
9.769904736,0.206828825341398,0.0385688510105912,-0.0510147318631453
9.77945992,0.207236714581973,0.0437136701763288,0.0997070226738646
9.789905259,0.207703121607174,0.0480432138342771,0.0487463831855896
9.799914695,0.20821942771123,0.0535427728960262,0.0498573455758011
9.809903945,0.208773906709891,0.056689502323747,0.049873574951467
9.819907172,0.209352791282579,0.0581489460870461,0
9.829921693,0.209937917659127,0.0574831261875587,0.0996969638667575
9.839909414,0.210502582683499,0.0537787643183125,0.149682918277502
9.849905664,0.21101263092568,0.0477293515313489,0.0509876405585035
9.859465061,0.211435961033585,0.036898662163559,0
9.869903643,0.211750529596755,0.0249011876247216,0.0487889725256842
9.879901675,0.211944856993213,0.0137025770531161,0
9.889333435,0.212016767818761,0.00141970284505543,0
9.899906518,0.211973257925735,-0.00912636936150304,-0.0484367924482853
